Value 1,Value 2,Value 3,Value 4
-2951,2536,8388607,-233079
-1332,2404,8388607,-232796
788,2025,8388607,-232727
2780,1544,8388607,-232505
4496,1099,8388607,-232607
6109,565,8388607,-232716
7320,-16,8388607,-232799
7835,-526,8388607,-232564
7799,-805,8388607,-232194
7418,-1010,8388607,-231717
6479,-1101,8388607,-231494
4829,-978,8388607,-231459
2719,-602,8388607,-231635
671,-120,8388607,-231511
-1107,388,8388607,-231439
-2767,983,8388607,-231281
-3949,1574,8388607,-231452
-4437,2014,8388607,-231454
-4369,2284,8388607,-231697
-3951,2514,8388607,-231918
-2952,2548,8388607,-231715
-1314,2408,8388607,-231461
808,2036,8388607,-231689
2879,1541,8388607,-231755
4641,1078,8388607,-232189
6088,516,8388607,-232446
7171,-43,8388607,-232520
7742,-506,8388607,-232436
7781,-861,8388607,-232437
7504,-1072,8388607,-232436
6541,-1170,8388607,-232866
4831,-1005,8388607,-233040
2679,-624,8388607,-233068
591,-172,8388607,-232839
-1356,363,8388607,-232967
-3051,979,8388607,-232986
-4118,1513,8388607,-233014
-4587,1971,8388607,-232901
-4454,2224,8388607,-233226
-4003,2387,8388607,-233176
-3049,2543,8388607,-233006
-1494,2446,8388607,-232887
574,2069,8388607,-232835
2597,1609,8388607,-232649
4314,1123,8388607,-232667
5919,564,8388607,-232654
7136,-18,8388607,-232640
7738,-500,8388607,-232677
7758,-832,8388607,-232916
7399,-1067,8388607,-232712
6436,-1173,8388607,-232620
4833,-999,8388607,-232456
2729,-647,8388607,-232472
646,-159,8388607,-232591
-1134,309,8388607,-232787
-2724,868,8388607,-232846
-3919,1436,8388607,-232755
-4576,1903,8388607,-232536
-4567,2232,8388607,-232662
-4139,2436,8388607,-232382
-3174,2537,8388607,-232191
-1619,2393,8388607,-232057
439,2013,8388607,-232176
2487,1558,8388607,-232131
4224,1194,8388607,-232175
5878,694,8388607,-232363
7063,113,8388607,-232471
7644,-424,8388607,-232638
7673,-793,8388607,-232868
7374,-999,8388607,-233129
6548,-1121,8388607,-233235
4936,-1002,8388607,-233046
2793,-679,8388607,-233243
736,-202,8388607,-233332
-1116,353,8388607,-233636
-2797,917,8388607,-233849
-3939,1473,8388607,-233908
-4542,1927,8388607,-233272
-4582,2259,8388607,-232670
-4172,2447,8388607,-232396
-3223,2508,8388607,-232369
-1629,2363,8388607,-232535
427,2001,8388607,-232684
2505,1533,8388607,-232634
4275,1056,8388607,-232856
5911,519,8388607,-233055
7245,-84,8388607,-233106
7921,-597,8388607,-233029
7979,-934,8388607,-232962
7719,-1182,8388607,-233064
6849,-1274,8388607,-233652
5296,-1131,8388607,-233917
3299,-787,8388607,-234129
1203,-314,8388607,-234029
-577,131,8388607,-233942
-2208,719,8388607,-233692
-3401,1316,8388607,-233506
-3984,1790,8388607,-233096
-3956,2113,8388607,-232911
-3606,2326,8388607,-232687
-2766,2478,8388607,-232632
-1287,2378,8388607,-232686
732,2013,8388607,-232688
2784,1505,8388607,-232716
4596,1019,8388607,-232793
6294,473,8388607,-232672
7522,-82,8388607,-232832
8140,-569,8388607,-232948
8179,-920,8388607,-233332
7886,-1201,8388607,-233403
7059,-1317,8388607,-233435
5607,-1217,8388607,-233421
3623,-912,8388607,-233607
1523,-437,8388607,-233697
-244,59,8388607,-233759
-1841,569,8388607,-233782
-3097,1135,8388607,-233841
-3721,1652,8388607,-233967
-3682,1975,8388607,-233869
-3417,2197,8388607,-233631
-2594,2343,8388607,-233431
-1034,2276,8388607,-233059
1073,1934,8388607,-232858
3180,1454,8388607,-232722
4947,991,8388607,-232778
6575,450,8388607,-232601
7822,-128,8388607,-232351
8463,-599,8388607,-232469
8488,-952,8388607,-232702
8148,-1224,8388607,-232746
7305,-1301,8388607,-232835
5779,-1201,8388607,-232574
3728,-916,8388607,-232452
1643,-497,8388607,-232801
-167,-83,8388607,-233180
-1772,454,8388607,-233151
-3035,1055,8388607,-233040
-3687,1582,8388607,-232821
-3706,1868,8388607,-232781
-3389,2011,8388607,-232445
-2623,2151,8388607,-232146
-1219,2066,8388607,-231855
763,1753,8388607,-231854
2808,1313,8388607,-231936
4621,806,8388607,-231938
6277,173,8388607,-231744
7608,-426,8388607,-231992
8264,-831,8388607,-232252
8345,-1151,8388607,-232689
8091,-1390,8388607,-232669
7279,-1509,8388607,-232866
5770,-1432,8388607,-233187
3654,-1112,8388607,-233596
1570,-611,8388607,-233496
-311,-68,8388607,-233624
-2102,483,8388607,-233727
-3486,1098,8388607,-233727
-4206,1611,8388607,-233628
-4376,1994,8388607,-233461
-4169,2186,8388607,-233117
-3396,2356,8388607,-233079
-1947,2332,8388607,-232891
23,2057,8388607,-232921
2023,1656,8388607,-232777
3711,1244,8388607,-232604
5283,698,8388607,-232422
6553,196,8388607,-232602
7328,-246,8388607,-232562
7437,-557,8388607,-232552
7112,-749,8388607,-232672
6319,-889,8388607,-232786
4801,-807,8388607,-232699
2757,-522,8388607,-232699
670,-120,8388607,-232534
-1178,304,8388607,-232708
-2889,869,8388607,-232766
-4161,1494,8388607,-232699
-4832,1940,8388607,-232482
-4846,2248,8388607,-232397
-4564,2437,8388607,-232043
-3776,2469,8388607,-231774
-2302,2394,8388607,-231629
-335,2117,8388607,-231544
1728,1684,8388607,-231522
3513,1239,8388607,-231786
5099,824,8388607,-231677
6395,310,8388607,-231568
7080,-194,8388607,-231523
7228,-577,8388607,-232057
6964,-812,8388607,-232585
6201,-985,8388607,-232814
4763,-954,8388607,-232538
2673,-632,8388607,-232334
514,-124,8388607,-232387
-1386,432,8388607,-232697
-3125,1004,8388607,-233000
-4392,1474,8388607,-233199
-5036,1894,8388607,-233060
-5106,2231,8388607,-232951
-4810,2439,8388607,-232524
